>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
ECMS 3-2                                     ECMS 3-2 NE
ECMS 4-2                                     ECMS 4-2 NE
ECMS 4-3                                     ECMS 4-3 NE
EDA 1-0-ESA                                  CORE EDA 1.0 with ESA
EMA 5-6                                      CORE EMA 5.6
EMA 6-0                                      CORE EMA 6.0
EMA-AS 15-0                                  CORE EMA AS 15.0
EMA-AS 7-0                                   CORE EMA AS 7.0
EMA-AS 7-1                                   CORE EMA AS 7.1
EMA-AS 7-1-CP1                               CORE EMA AS 7.1 CP1
EMA-AS 7-2                                   CORE EMA AS 7.2
EMA-PG 15-0-CP1                              CORE EMA PG 15.0 CP1
EMA-PG 15-1                                  CORE EMA-PG R15-1
EMA-PG 7-1-CP1                               CORE EMA PG 7.1 CP1
EMA-PG 7-2                                   CORE EMA PG 7.2
EMA-PG R15-0                                 CORE EMA-PG R15-0
EMA-PS 15-0                                  CORE EMA PS 15.0
EMA-PS 7-0                                   CORE EMA AS 7.0
EMA-PS 7-1                                   CORE EMA AS 7.1
EMM-FE 7-0                                   EMM FE 7.0 NE
EMM-OLM 7-0                                  EMM OLM 7.0 NE
EPC 2-1                                      TSP 5.3 based EPC 2.1 NE
EPG 12A-SSR                      DEPRECATED  Redback Networks SSR8020 based EPG 12A NE
EPG-JUNIPER 12A                              Juniper Networks M120/M320-based EPG 12A NE
EPG-JUNIPER 13A                              Juniper Networks M120/M320-based EPG 13A NE
EPG-JUNIPER 14B                              Juniper Networks M120/M320-based EPG 14B NE
EPG-JUNIPER 15B                              Juniper Networks M120/M320-based EPG 15B NE
EPG-SSR 14A                                  Redback Networks based EPG 14A NE
EPG-SSR 14B                                  Redback Networks based EPG 14B NE
ERDM 1-0                                     ERDM 1.0 NE
ESAPC 16B-CORE-V5#1              TEMPLATE-BASED ESAPC 16B-CORE V5
EdgeRouter SE-100                            EdgeRouter SE-100
EdgeRouter SE-1200                           EdgeRouter SE-1200
EdgeRouter SE-400                            EdgeRouter SE-400
EdgeRouter SE-600                            EdgeRouter SE-600
EdgeRouter SE-800                            EdgeRouter SE-800
EdgeRouter-SSR 12B                           EdgeRouter SSR 12B
EdgeRouter-SSR 14A                           EdgeRouter SSR 14A
EdgeRouter-SSR 14B                           EdgeRouter SSR 14B
EdgeRouter-SSR 15B                           EdgeRouter SSR 15B
EdgeRouter-SSR 15B-DP1                       EdgeRouter SSR 15B-DP1
EdgeRouter-SSR 16A                           EdgeRouter SSR 16A
EdgeRouter-SSR R3-0                          EdgeRouter SSR R3.0
GGSN 09A                                     Juniper Networks J20-based GGSN 09A NE
GGSN 09B                                     Juniper Networks J20-based GGSN 09B NE
GGSN J20                                     Juniper Networks J20-based GGSN R2.5 NE
GGSN R3                                      Juniper Networks J20-based GGSN R3 NE
GGSN R4-J20                                  Juniper Networks J20-based GGSN R4 NE
GGSN R5                                      Juniper Networks J20-based GGSN R5 FP01 NE
GGSN-MPG 10A                                 Juniper Networks J20-based GGSN-MPG 10A NE
GGSN-MPG 10B                                 Juniper Networks J20-based GGSN-MPG 10B NE
GGSN-MPG 11A                                 Juniper Networks J20-based GGSN-MPG 11A NE
GGSN-MPG 11B                                 Juniper Networks J20-based GGSN-MPG 11B NE
GMPC 100                                     GMPC 10.0 NE
GMPC 110                                     GMPC 11.0 NE
GMPC 111                                     GMPC 11.1 NE
GMPC 13B                                     GMPC 13B NE
GMPC 14B                                     GMPC 14B NE
GMPC 15                                      GMPC 15 NE
GMPC 16                                      GMPC 16 NE
GSN 08B                                      WPP based SGSN 08B with SNMP and SSH support
GSN 09A                                      WPP based SGSN 09A with SNMP and SSH support
GSN 09B                                      WPP based SGSN 09B with SNMP and SSH support
GSN 09B-2                                    WPP based SGSN 09B-2 with SNMP and SSH support
GSN 09B-RP01                                 WPP based SGSN 09B-RP01 with SNMP and SSH support
GSN 1-5                                      WPP based SGSN 1-5 with SNMP and SSH support
GSN 10A                                      WPP based SGSN 10A with SNMP and SSH support
GSN 10B                                      WPP based SGSN 10B with SNMP and SSH support
GSN 10B-RP02                                 WPP based SGSN 10B-RP02 with SNMP and SSH support
GSN 11A                                      WPP based SGSN 11A with SNMP and SSH support
GSN 11A-FP01                                 WPP based SGSN 11A FP01 with SNMP and SSH support
GSN 11A-FP02                                 WPP based SGSN 11A FP02 with SNMP and SSH support
GSN 11B                                      WPP based SGSN 11B with SNMP and SSH support
GSN 12A                                      WPP based SGSN 12A with SNMP and SSH support
GSN 13A                                      WPP based SGSN 13A with SNMP and SSH support
GSN 13B                                      WPP based SGSN 13A with SNMP and SSH support
GSN 14A                                      WPP based SGSN 14A with SNMP and SSH support
GSN 14B                                      WPP based SGSN 14A with SNMP and SSH support
GSN 15A                                      WPP based SGSN 15A with SNMP and SSH support
GSN 15B                                      WPP based SGSN 15B with SNMP and SSH support
GSN 16A                                      WPP based SGSN 16A with SNMP and SSH support
GSN WPP                                      Generic WPP based SGSN with SNMP and SSH support
GSN WPP-70                                   WPP based SGSN R7.0 with SNMP and SSH support
GSN WPP-80                                   WPP based SGSN R8.0 with SNMP and SSH support
HDS-8000 16A                                 CBA based HDS-8000 16A NE
HDS-CCM 17A                                  HDS-CCM 17A NE
HGM 17A                                      HGM 17A
HGM 17B                                      HGM 17B
HGW 17A                                      HGW 17A
HSS 11A                                      TSP 6.0 based HSS 11A NE
HSS 11B                                      TSP 6.0 based HSS 11B NE
HSS 12A                                      TSP 6.0 based HSS 12A NE
HSS 12B                                      TSP 6.0 based HSS 12B NE
HSS 14A                                      TSP 6.0 based HSS 14A NE
HSS 15A                                      TSP 6.0 based HSS 15A NE
HSS 16A                                      TSP 6.0 based HSS 16A NE
HSS 17A                                      TSP 6.0 based HSS 17A NE
HSS 4-0                                      TSP 5.2 based HSS 4.0 NE with data
HSS 4-1                                      TSP 5.3 based HSS 4.1 NE
HSS 5-0                                      TSP 6.0 based HSS 5.0 NE
HSS-FD1 14A                                  TSP 6.0 based HSS-FD1 14A NE
HSS-FD1 15A                                  TSP 6.0 based HSS-FD1 15A NE
HSS-FE 12B                                   TSP 6.0 based HSS-FE 12B NE
HSS-FE 14A                                   TSP 6.0 based HSS-FE 14A NE
HSS-FE 15B                                   CBA based HSS-FE 15B NE
HSS-FE 16A                                   CBA based HSS-FE 16A NE
HSS-FE-FD1 14A                               TSP 6.0 based HSS-FE-FD1 14A NE
HSS-FE-FD1 15A                               TSP 6.0 based HSS-FE-FD1 15A NE
HSS-SM 5-0                                   TSP 6.0 based HSS-SM 5.0 NE
I-CSCF 11A                                   TSP 6.0 based I-CSCF 11A NE with data
I-CSCF 11B                                   TSP 6.0 based I-CSCF 11B NE with data
I-CSCF 12A                                   TSP 6.0 based I-CSCF 12A NE with data
I-CSCF 12B                                   TSP 6.0 based I-CSCF 12B NE with data
I-CSCF 16B                                   TSP 6.0 based I-CSCF 16B NE with data
I-CSCF 5-0                                   TSP 6.0 based I-CSCF 5.0 NE with data
IMS-CO-ICS 4-1                               TSP 6.0 based IMS-CO-ICS 4.1 NE with data
IMS-M 2-0                                    TSP 5.3 based IMS-M 2.0 NE with data
IPRouter AXI-520                             AXI 520
IPRouter AXI-520_4                           AXI 520-4
IPRouter AXI-580                             AXI 580
IPWorks 11B                                  IPWorks 11B NE
IPWorks 12A                                  IPWorks 12A NE
IPWorks 12B                                  IPWorks 12B NE
IPWorks 12B-FD1                              IPWorks 12B-FD1 NE
IPWorks 14B                                  IPWorks 14B NE
IPWorks 14B-FD1                              IPWorks 14B-FD1 NE
IPWorks 15B                                  IPWorks 15B NE
IPWorks 15B-FD1                              IPWorks 15B NE
IPWorks R4-1                                 IPWorks 4.1 NE
IPWorks R4-2                                 IPWorks 4.2 NE
IPWorks R5                                   IPWorks R5 NE
IPWorks R6                                   IPWorks R6 NE
IPWorks R7-FD1                               IPWorks 7.0 FD1 NE
JUNIPER M10i                                 JUNIPER M10i
MINSAT 6-2                                   Sun based MINSAT 6.2 NE
MINSAT 7-0-2                                 Sun based MINSAT 7.0.2 NE
MINSAT 7-0-2-ESA                             Sun based MINSAT 7.0.2 NE with ESA FM support
MINSAT 7-0-ESA                               Sun based MINSAT 7.0 NE with ESA FM support
MINSAT 7-2-8-ESA                             Sun based MINSAT 7.2.8 NE with ESA FM support
MIO 1-0                                      MiO 1.0
MIO 2-0                                      MiO 2.0
MM 15-1-ESA                                  CORE MM 15.1 with ESA
MM 15-2-ESA                                  CORE MM 15.2 with ESA
MM 8-0-ESA                                   CORE MM 8.0 with ESA
MM 8-1-ESA                                   CORE MM 8.1 with ESA
MM 8-2-ESA                                   CORE MM 8.2 with ESA
MM 8-3-ESA                                   CORE MM 8.3 with ESA
MM 9-0-ESA                                   CORE MM 9.0 with ESA
MMC 5-0                                      MMC 5.0 NE with SNMP support
MOIP 4-2-1                                   Messaging-over-IP NE with SNMP support
MOIP 5-0                                     Messaging-over-IP NE with SNMP support
MRF 4-0                                      TSP 5.2 based MRF 4.0 NE with data
MRF 4-2                                      TSP 5.3 based MRF 4.2 NE
MRFC 11B                                     TSP 6.0 based MRFC 11B NE with data
MRFC 5-0                                     TSP 6.0 based MRFC 5.0 NE with data
MRFP 1-1                                     MRFP 1.1
MRFP 1-2                                     MRFP 1.2
MRFP 1-2A                                    MRFP 1.2A
MSP 5-3                                      Multiservice Proxy 5.3
MTAS 11A                                     TSP 6.0 based MTAS 11A NE with PM support
MTAS 11B                                     TSP 6.0 based MTAS 11B NE with PM support
MTAS 12A                                     TSP 6.0 based MTAS 12A NE with PM support
MTAS 12B                                     TSP 6.0 based MTAS 12B NE with PM support
MTAS 13A                                     TSP 6.0 based MTAS 13A NE with PM support
MTAS 13B                                     TSP 6.0 based MTAS 13B NE with PM support
MTAS 14A                                     TSP 6.0 based MTAS 14A NE with PM support
MTAS 14B                                     TSP 6.0 based MTAS 14B NE with PM support
MTAS 15A                                     TSP 6.0 based MTAS 15A NE with Subscriber Trace Support
MTAS 15B                                     CBA based MTAS 15B NE with Subscriber Trace Support
MTAS 16A                                     TSP 6.0 based MTAS 16A NE with Subscriber Trace Support
MTAS 16B                                     TSP 6.0 based MTAS 16B NE with Subscriber Trace Support
MTAS 17A                                     TSP 6.0 based MTAS 17A NE with Subscriber Trace Support
MTAS 2-0                                     TSP 5.3 based MTAS 2.0 NE
MTAS 3-0                                     TSP 6.0 based MTAS 3.0 NE with PM support
MTAS 3-1                                     TSP 6.0 based MTAS 3.1 NE with PM support
MTAS 4-3                                     TSP 6.0 based MTAS 4.3 NE with PM support
MTAS 4-4                                     TSP 6.0 based MTAS 4.4 NE with PM support
MTAS-CBA 1-5                                 CBA based MTAS 1.5 NE with Subscriber Trace Support
MTAS-CBA 16A                                 CBA based MTAS 16A NE with Subscriber Trace Support
MTAS-CBA 16B                                 CBA based MTAS 16B NE with Subscriber Trace Support
MTAS-TSP 15B                                 TSP 6.0 based MTAS 15B NE with Subscriber Trace Support
NMS FOR-SNMP                                 Test NMS for SNMP-based nodes
NMS V1                                       CORE NMS V1
OCC 3-0-ESA                                  OCC 3-0
OPENCODE-IVR R1                              Opencode IVR Gateway
OPENCODE-USSD R1                             Opencode USSD Gateway
OSS FOR-DMX                                  Simulated OSS suitable for communication with DMX NEs
OSS FOR-ECM                                  Simulated OSS suitable for communication with ECM NEs
OSS FOR-GGSN                                 Simulated OSS suitable for communication with GGSN NEs
OSS FOR-IS                                   Test client for NETCONF-based nodes
OSS FOR-MMC                                  Simulated OSS suitable for communication with MMC NEs
OSS FOR-NETCONF                              Test client for NETCONF-based nodes
OSS FOR-PSTU                                 Simulated OSS suitable for communication with PSTU NEs
OSS FOR-SASN                                 Simulated OSS suitable for communication with SASN NEs
OSS FOR-SDC                                  Simulated OSS suitable for communication with SDC NEs
OSS FOR-SGSN-08B                             Simulated OSS for SGSN 08B WPP-based nodes
OSS FOR-SGSN-09A                             Simulated OSS for SGSN 08B WPP-based nodes
OSS FOR-SGSN-09B                             Simulated OSS for SGSN 09B WPP-based nodes
OSS FOR-SGSN-10A                             Simulated OSS for SGSN 10A WPP-based nodes
OSS FOR-SGSN-10B                             Simulated OSS for SGSN 10B WPP-based nodes
OSS FOR-SGSN-11A                             Simulated OSS for SGSN 11A WPP-based nodes
OSS FOR-SGSN-11A-FP01                        Simulated OSS for SGSN 11A FP01 WPP-based nodes
OSS FOR-SGSN-11A-FP02                        Simulated OSS for SGSN 11A FP02 WPP-based nodes
OSS FOR-SGSN-11B                             Simulated OSS for SGSN 11B WPP-based nodes
OSS FOR-SGSN-12A                             Simulated OSS for SGSN 12A WPP-based nodes
OSS FOR-SGSN-13A                             Simulated OSS for SGSN 13A WPP-based nodes
OSS FOR-SNM                                  Simulated OSS suitable for communication with BNSI agents
OSS FOR-SNMP                                 Test client for SNMP-based nodes
OSS WPP-55                                   Test client for SGSN 5.5 WPP-based nodes
OSS WPP-60                                   Test client for SGSN 6.0 WPP-based nodes
OSS WPP-70                                   Test client for SGSN 7.0 WPP-based nodes
OSS WPP-80                                   Test client for SGSN 8.0 WPP-based nodes
P-CSCF 11A                                   TSP 6.0 based P-CSCF 11A NE with data
P-CSCF 11B                                   TSP 6.0 based P-CSCF 11B NE with data
P-CSCF 12A                                   TSP 6.0 based P-CSCF 12A NE with data
P-CSCF 12B                                   TSP 6.0 based P-CSCF 12B NE with data
P-CSCF 16B                                   TSP 6.0 based P-CSCF 16B NE with data
P-CSCF 5-0                                   TSP 6.0 based P-CSCF 5.0 NE with data
PG 15-1-ESA                                  CORE PG 15.1 with ESA
PG 16-0-ESA                                  CORE PG 16.0 with ESA
PG 16-1-ESA                                  CORE PG 16.1 with ESA
PG 16-2-ESA                                  CORE PG 16.2 with ESA
PG 16-3-ESA                                  CORE PG 16.3 with ESA
PG 5-0-ESA                                   CORE PG 5.0 with ESA
PG 5-1-ESA                                   CORE PG 5.1 with ESA
PG 6-0-ESA                                   CORE PG 6.0 with ESA
PG 6-1-ESA                                   CORE PG 6.1 with ESA
PG 6-2-ESA                                   CORE PG 6.2 with ESA
PG 6-3-ESA                                   CORE PG 6.3 with ESA
PG 7-1-CP1-ESA                               CORE PG 7.1 CP1 with ESA
PG 7-1-ESA                                   CORE PG 7.1 with ESA
PG 7-2-ESA                                   CORE PG 7.2 with ESA
PGM 12A                                      OMP 2.0 based PGM 12A NE
PGM 4-1                                      TSP 5.3 based PGM 4.1 NE
PGM 5-0                                      OMP 2.0 based PGM 5.0 NE
PGM-AP 4-1                                   TSP 5.3 based PGM-AP 4.1 NE
PGM-AP 5-0                                   OMP 2.0 based PGM 5.0 NE
PGM-AP 5-0-FD1                               OMP 2.0 based PGM 5.0 FD1 NE
PGM-AP 5-0-FD2                               OMP 2.0 based PGM 5.0 FD2 NE
PGM-MWI 5-0                                  OMP 2.0 based PGM 5.0 NE
PGM-MWI 5-0-FD1                              OMP 2.0 based PGM 5.0 FD1 NE
PGM-MWI 5-0-FD2                              OMP 2.0 based PGM 5.0 FD2 NE
PGM-PXD 5-0                                  OMP 2.0 based PGM 5.0 NE
PGM-PXD 5-0-FD1                              OMP 2.0 based PGM 5.0 FD1 NE
PGM-PXD 5-0-FD2                              OMP 2.0 based PGM 5.0 FD2 NE
PGM-WUIGM 4-1                                TSP 5.3 based PGM-WUIGM 4.1 NE
PGM-WUIGM 5-0                                OMP 2.0 based PGM 5.0 NE
PGM-WUIGM 5-0-FD1                            OMP 2.0 based PGM 5.0 FD1 NE
PGM-WUIGM 5-0-FD2                            OMP 2.0 based PGM 5.0 FD2 NE
ProtocolServer 12B                           ProtocolServer 12B NE
ProtocolServer 14B                           ProtocolServer 14B NE
RADIUS A1                                    JUNIPER RADIUS A1
RAN-VNFM LCM                                 RAN-VNFM LCM
S-CSCF 11A                                   TSP 6.0 based S-CSCF 11A NE with data
S-CSCF 11B                                   TSP 6.0 based S-CSCF 11B NE with data
S-CSCF 12A                                   TSP 6.0 based S-CSCF 12A NE with data
S-CSCF 12B                                   TSP 6.0 based S-CSCF 12B NE with data
S-CSCF 16B                                   TSP 6.0 based S-CSCF 16B NE with data
S-CSCF 5-0                                   TSP 6.0 based S-CSCF 5.0 NE with data
SAEGW FD1                                    SAE-GW FD1
SAPC 09A                                     TSP 6.0 based SAPC 2009 NE
SAPC 09B                                     TSP 6.0 based SAPC 2009 NE
SAPC 10A                                     TSP 6.0 based SAPC 2010 NE
SAPC 10AFP                                   TSP 6.0 based SAPC 2010 NE
SAPC 10B                                     TSP 6.0 based SAPC 2010 NE
SAPC 11A                                     TSP 6.0 based SAPC 2011 NE
SAPC 11B                                     TSP 6.0 based SAPC 2011 NE
SAPC 12A                                     TSP 6.0 based SAPC 2012 NE
SAPC 12B                                     TSP 6.0 based SAPC 2012 NE
SAPC 13A                                     TSP 6.0 based SAPC 13A NE
SAPC 13B                                     TSP 6.0 based SAPC 13B NE
SAPC 14A                                     TSP 6.0 based SAPC 14A NE
SAPC 14B                                     TSP 6.0 based SAPC 14B NE
SAPC 15B                                     TSP 6.0 based SAPC 15B NE
SAPC 15B-FP1                                 TSP 6.0 based SAPC 15B FP1 NE
SAPC 15B-FP2                                 TSP 6.0 based SAPC 15B FP2 NE
SAPC 16B                                     TSP 6.0 based SAPC 16B NE
SAPC 16B-FD2                                 TSP 6.0 based SAPC 16B FD2 NE
SAPC 16B-FD3                                 TSP 6.0 based SAPC 16B FD3 NE
SASN 09A                                     SASN 09A
SASN 09B                                     SASN 09B
SASN 10A                                     SASN 10A
SASN 10A-FP01                                SASN 10A FP01
SASN 11A                                     SASN 11A
SASN 11B                                     SASN 11B
SASN 12A                                     SASN 12A
SASN 13A                                     SASN 13A
SASN 13B                                     SASN 13B
SASN 14A                                     SASN 14A
SASN R5                                      SASN R5
SASN R6                                      SASN R6
SDC R5-8                                     SDC R5.8
SDP 5-2                                      Sun based SDP 5.2 NE
SDP 5-4                                      Sun based SDP 5.4 NE
SDP 5-4-ESA                                  Sun based SDP 5.4 NE with ESA FM support
SDP 5-ESA                                    Sun based SDP 5 NE with ESA FM support
SGSN 08B                                     SGSN 08B with only Corba support
SGSN 09A                                     SGSN 09A with only Corba support
SGSN 09B                                     SGSN 09B with only Corba support
SGSN 09B-RP01                                SGSN 09B RP01 with only Corba support
SGSN 10A                                     SGSN 10A with only Corba support
SGSN 10B                                     SGSN 10B with only Corba support
SGSN 11A                                     SGSN 11A with only Corba support
SGSN 11A-FP01                                SGSN 11A FP01 with only Corba support
SGSN 11A-FP02                                SGSN 11A FP02 with only Corba support
SGSN 11B                                     SGSN 11B with only Corba support
SGSN 12A                                     SGSN 12A with only Corba support
SGSN 13A                                     SGSN 13A with Corba support only
SGSN 13B                                     SGSN 13A with Corba support only
SGSN SPP-R2                                  SGSN Pool Proxy, SPP R2
SGSN SPP-R2CP08                              SGSN Pool Proxy, SPP R2CP08
SGSN SPP-R2CP09                              SGSN Pool Proxy, SPP R2CP09
SGSN SPP-R2CP10                              SGSN Pool Proxy, SPP R2CP10
SGSN SPP-SPP300SP00                          SGSN Pool Proxy, SPP SPP300SP00
SGSN SPP-SPP300SP01                          SGSN Pool Proxy, SPP SPP300SP01
SGSN WPP-55                                  SGSN R5.5 with only Corba support
SGSN WPP-60                                  SGSN R6.0 with only Corba support
SGSN WPP-70                                  SGSN R7.0 with only Corba support
SGSN WPP-80                                  SGSN R8.0 with only Corba support
SLF 1-1                                      TSP 5.3 based SLF 1.1 NE
SMPC 110                                     SMPC 11.0 NE
SMPC 13B                                     SMPC 13B NE
SMPC 14B                                     SMPC 14B NE
SMPC 15                                      SMPC 15 NE
SMPC 16                                      SMPC 16 NE
SMPC 60                                      SMPC 6.0 NE
SMPC 70                                      SMPC 7.0 NE
SMPC 80                                      SMPC 8.0 NE
SNM DEFAULT                                  BNSI AGENT
SNMP NBI                                     CORE SNMP NBI
SSG 6-3                                      SSG 6.3
SYSLOG SERVER                                syslog server
SmartMetro SM-240                            SmartMetro SM-240
SmartMetro SM-480                            SmartMetro SM-480
SpitFire 17A-V7                  TEMPLATE-BASED SpitFire 17A V7
SunMC 1-0                                    Sun based SunMC ?.? NE
SunMC 4-0                                    Sun based SunMC 4.0 NE
TSP 4-0                                      TSP 4.0 NE
TSP 5-2                                      TSP 5.2 NE
TSP 5-3                                      TSP 5.3 NE
TSP 6-0                                      TSP 6.0 NE
TrueTime NTS-200                             TrueTimeNTS-200
UPG 12A-ESA                                  CORE UPG 12A with ESA
UPG 12B-ESA                                  CORE UPG 12B with ESA
VPN 3-2                                      TSP 6.0 based VPN 3.2 NE with FM support
VS 3-2                                       Sun based VS 3.2 NE
VS 4-0                                       Sun based VS 4.0 NE
VS 4-0-ESA                                   Sun based VS 4.0 NE with ESA FM support
VS 5-0-ESA                                   Sun based VS 5.0 NE with ESA FM support
VXML-IVR-AS 2-5                              VXML-IVR-AS 2.5 NE with data
VXML-IVR-AS 3-0                              VXML-IVR-AS 3.0 NE with data
VXML-IVR-AS 3-1                              VXML-IVR-AS 3.1 NE with data
VXML-IVR-MS 3-3                              VXML-IVR-MS 3.3 NE with data
VXML-IVR-MS 3-4                              VXML-IVR-MS 3.4 NE with data
ZELS 30                                      ZELS 3.0 NE
TEMPLATE APG 43L                             no_value
TEMPLATE BBSC 14B-CORE                       no_value
TEMPLATE BBSC 15A-CORE                       no_value
TEMPLATE BBSC 16A-CORE                       no_value
TEMPLATE BBSC 16B-CORE                       no_value
TEMPLATE BBSC 16B-FD1-CORE                   no_value
TEMPLATE BCE 13B-CORE                        no_value
TEMPLATE BCE 15A-CORE                        no_value
TEMPLATE BCE 16A-CORE                        no_value
TEMPLATE BCE 16B-CORE                        no_value
TEMPLATE BSP 14B-CORE                        no_value
TEMPLATE BSP 14B-V2-CORE                     no_value
TEMPLATE BSP 15A-CORE                        no_value
TEMPLATE BSP 15B-CORE                        no_value
TEMPLATE BSP R10-CORE                        no_value
TEMPLATE BSP R11-CORE                        no_value
TEMPLATE BSP R6-CORE                         no_value
TEMPLATE BSP R7-CORE                         no_value
TEMPLATE BSP R8-CORE                         no_value
TEMPLATE BSP R9-CORE                         no_value
TEMPLATE CSCF 1-2-CORE                       CSCF 1.2 NE
TEMPLATE CSCF 1-3-CORE                       CSCF 1.3 NE
TEMPLATE CSCF 15A-CORE                       CSCF 15A NE
TEMPLATE CSCF 15B-CORE                       CSCF 15B NE
TEMPLATE CSCF 16A-CORE                       CSCF 16A NE
TEMPLATE CSCF 16B-CORE                       CSCF 16B NE
TEMPLATE CSCF 17B-RUI-CORE                   CSCF 17B RUI NE
TEMPLATE CSCF-LEGACY 13A                     no_value
TEMPLATE CSCF-LEGACY 13A-FD1                 no_value
TEMPLATE CSCF-LEGACY 13B                     no_value
TEMPLATE CSCF-LEGACY 14B                     no_value
TEMPLATE CSCF-LEGACY 15B                     no_value
TEMPLATE CUDB 17A-CORE                       CUDB 17A NE
TEMPLATE CUDB REF                            no_value
TEMPLATE DMX 4-0-CORE                        no_value
TEMPLATE DUA-S 1-2-CORE                      DUA-S 1.2 NE
TEMPLATE DUA-S 14B-CORE                      DUA-S 14B NE
TEMPLATE DUA-S 15A-CORE                      DUA-S 15A NE
TEMPLATE DUA-S 15B-CORE                      DUA-S 15B NE
TEMPLATE DUA-S 16A-CORE                      DUA-S 16A NE
TEMPLATE ECIM H2S-12A-REF                    no_value
TEMPLATE ECIM H2S-12B-REF                    no_value
TEMPLATE ECIM H2S-13B-REF                    no_value
TEMPLATE ECIM H2S-14A-REF                    no_value
TEMPLATE ECIM H2S-REF                        no_value
TEMPLATE ECIM REF                            no_value
TEMPLATE EPDG 14B-CORE                       EPDG 14B NE
TEMPLATE EPDG 15B-CORE                       EPDG 15B NE
TEMPLATE EPG-EVR 1-0                         no_value
TEMPLATE EPG-EVR 16A-CP06                    no_value
TEMPLATE EPG-EVR 16B                         no_value
TEMPLATE EPG-EVR 16B-CP02                    no_value
TEMPLATE EPG-SSR 1-0                         no_value
TEMPLATE EPG-SSR 12A                         no_value
TEMPLATE EPG-SSR 13B                         no_value
TEMPLATE EPG-SSR 14B                         no_value
TEMPLATE EPG-SSR 15A                         no_value
TEMPLATE EPG-SSR 15B                         no_value
TEMPLATE EPG-SSR 16A                         no_value
TEMPLATE EPG-SSR 16B                         no_value
TEMPLATE EPG-SSR 16B-CP02                    no_value
TEMPLATE EPG-SSR-PLATFORM 13B                no_value
TEMPLATE ESAPC 1-0-CORE                      no_value
TEMPLATE ESAPC 14A-CORE                      no_value
TEMPLATE ESAPC 15A-CORE                      no_value
TEMPLATE ESAPC 16A-CORE                      no_value
TEMPLATE ESAPC 16B-CORE                      no_value
TEMPLATE ESAPC 17A-CORE                      no_value
TEMPLATE HSS-FE 1-0                          no_value
TEMPLATE HSS-FE 1-1                          no_value
TEMPLATE HSS-FE 16A                          no_value
TEMPLATE HSS-FE 16A-FD1                      no_value
TEMPLATE HSS-FEv 1                           no_value
TEMPLATE IPWORKS 1-2-CORE                    no_value
TEMPLATE IPWORKS 1-3-CORE                    no_value
TEMPLATE IPWORKS 16A-CORE                    no_value
TEMPLATE IPWORKS 16B-CORE                    no_value
TEMPLATE IPWORKS 17A-CORE                    no_value
TEMPLATE MIO 3-0-CORE                        no_value
TEMPLATE MIO 3-1-CORE                        no_value
TEMPLATE MRFv 1-0-CORE                       MRFv 1-0 NE
TEMPLATE MRFv 1-1-CORE                       MRFv 1-1 NE
TEMPLATE MRFv 1-2-CORE                       MRFv 1-2 NE
TEMPLATE MRFv 17A-CORE                       MRFv 17A NE
TEMPLATE MRSv 16A-CORE                       MRSv 16A NE
TEMPLATE MRSv-BGF 1-7-CORE                   MRSv 16A NE
TEMPLATE MRSv-BGF 1-9-CORE                   MRSv 1.9
TEMPLATE MRSv-BGF 16A-CORE                   MRSv 16A NE
TEMPLATE MTAS 1-5-CORE                       no_value
TEMPLATE MTAS 1-7-CORE                       no_value
TEMPLATE MTAS 15B-CORE                       no_value
TEMPLATE MTAS 16A-CORE                       no_value
TEMPLATE MTAS 16B-CORE                       no_value
TEMPLATE MTAS 17B-RUI-CORE                   no_value
TEMPLATE MTAS-LEGACY 13A                     no_value
TEMPLATE MTAS-LEGACY 13B                     no_value
TEMPLATE MTAS-LEGACY 14B                     no_value
TEMPLATE MTAS-LEGACY 15A                     no_value
TEMPLATE MTAS-LEGACY 15B                     no_value
TEMPLATE PGM 16A-CORE                        PGM 16A NE
TEMPLATE PGM 16B-CORE                        PGM 16B NE
TEMPLATE PGM 6-0-CORE                        PGM 6.0 NE
TEMPLATE R6274 17A                           R6274 17A
TEMPLATE R6274 18A                           R6274 18A
TEMPLATE SBG 1-4-CORE                        SBG 1.4 NE
TEMPLATE SBG 1-6-CORE                        SBG 1.6 NE
TEMPLATE SBG 15A-CORE                        SBG 15A NE
TEMPLATE SBG 15B-CORE                        SBG 15B NE
TEMPLATE SBG 16A-CORE                        SBG 16A NE
TEMPLATE SBG 16B-CORE                        SBG 16B NE
TEMPLATE SBG 17B-RUI-CORE                    SBG 17B RUI NE
TEMPLATE SDNC-P 14B-CORE                     no_value
TEMPLATE SDNC-P 15A-CORE                     no_value
TEMPLATE SDNC-P 16A-CORE                     no_value
TEMPLATE SGSN 09A-CS                         no_value
TEMPLATE SGSN 09B-CS                         no_value
TEMPLATE SGSN 10A-CS                         no_value
TEMPLATE SGSN 10B-CS                         no_value
TEMPLATE SGSN 11A-CS                         no_value
TEMPLATE SGSN 11B-CS                         no_value
TEMPLATE SGSN 12A-CS                         no_value
TEMPLATE SGSN 13A                            no_value
TEMPLATE SGSN 13A-CS                         no_value
